id,path,source,modality,duration_sec,fps,width,height,has_video,has_audio,rights
kungfury,data/movies/kungfury/kungfury.mp4,kungfury,audiovisual,1862.33,25.0,1920,1080,True,True,third-party (research use)
BigBuckBunny,data/movies/open/BigBuckBunny.mp4,open,audiovisual,596.46,24.0,320,180,True,True,CC-BY (Blender open movies)
Sintel,data/movies/open/Sintel.mkv,open,audiovisual,888.03,24.0,1280,544,True,True,CC-BY (Blender open movies)
TearsOfSteel,data/movies/open/TearsOfSteel.mov,open,audiovisual,734.17,24.0,1280,534,True,True,CC-BY (Blender open movies)
ses-01_run-01_order-01_content-idiots,data/movies/spacetop/videos/ses-01/ses-01_run-01_order-01_content-idiots.mp4,spacetop,audiovisual,51.93,23.98,1920,1080,True,True,lab-internal
ses-01_run-01_order-02_content-wanderers,data/movies/spacetop/videos/ses-01/ses-01_run-01_order-02_content-wanderers.mp4,spacetop,audiovisual,198.2,25.0,1280,720,True,True,lab-internal
ses-01_run-01_order-03_content-lioncubs,data/movies/spacetop/videos/ses-01/ses-01_run-01_order-03_content-lioncubs.mp4,spacetop,audiovisual,60.86,29.97,1920,1080,True,True,lab-internal
ses-01_run-01_order-04_content-parkour,data/movies/spacetop/videos/ses-01/ses-01_run-01_order-04_content-parkour.mp4,spacetop,audiovisual,38.77,29.97,1920,1080,True,True,lab-internal
ses-01_run-02_order-01_content-harrymetsally,data/movies/spacetop/videos/ses-01/ses-01_run-02_order-01_content-harrymetsally.mp4,spacetop,audiovisual,155.22,29.97,1280,720,True,True,lab-internal
ses-01_run-02_order-02_content-HB,data/movies/spacetop/videos/ses-01/ses-01_run-02_order-02_content-HB.mp4,spacetop,audiovisual,57.14,23.98,1920,1080,True,True,lab-internal
ses-01_run-02_order-03_content-islamophobia,data/movies/spacetop/videos/ses-01/ses-01_run-02_order-03_content-islamophobia.mp4,spacetop,audiovisual,243.87,23.98,1280,720,True,True,lab-internal
ses-01_run-02_order-04_content-beachsunset,data/movies/spacetop/videos/ses-01/ses-01_run-02_order-04_content-beachsunset.mp4,spacetop,audiovisual,30.12,25.0,1920,1080,True,True,lab-internal
ses-01_run-03_order-01_content-huggingpets,data/movies/spacetop/videos/ses-01/ses-01_run-03_order-01_content-huggingpets.mp4,spacetop,audiovisual,106.31,29.97,1280,720,True,True,lab-internal
ses-01_run-03_order-02_content-bestfriendsweating,data/movies/spacetop/videos/ses-01/ses-01_run-03_order-02_content-bestfriendsweating.mp4,spacetop,audiovisual,59.23,23.98,1280,720,True,True,lab-internal
ses-01_run-03_order-03_content-cupstacking,data/movies/spacetop/videos/ses-01/ses-01_run-03_order-03_content-cupstacking.mp4,spacetop,audiovisual,20.92,29.97,1920,1080,True,True,lab-internal
ses-01_run-03_order-04_content-dancewithdeath,data/movies/spacetop/videos/ses-01/ses-01_run-03_order-04_content-dancewithdeath.mp4,spacetop,audiovisual,136.72,25.0,1280,720,True,True,lab-internal
ses-01_run-04_order-01_content-beatbox,data/movies/spacetop/videos/ses-01/ses-01_run-04_order-01_content-beatbox.mp4,spacetop,audiovisual,142.38,29.97,1280,720,True,True,lab-internal
ses-01_run-04_order-02_content-angrygrandpa,data/movies/spacetop/videos/ses-01/ses-01_run-04_order-02_content-angrygrandpa.mp4,spacetop,audiovisual,339.04,29.97,1920,1080,True,True,lab-internal
ses-02_run-01_order-01_content-knifegame,data/movies/spacetop/videos/ses-02/ses-02_run-01_order-01_content-knifegame.mp4,spacetop,audiovisual,26.73,29.97,1280,720,True,True,lab-internal
ses-02_run-01_order-02_content-freesolo,data/movies/spacetop/videos/ses-02/ses-02_run-01_order-02_content-freesolo.mp4,spacetop,audiovisual,71.47,29.97,1280,720,True,True,lab-internal
ses-02_run-01_order-03_content-youth,data/movies/spacetop/videos/ses-02/ses-02_run-01_order-03_content-youth.mp4,spacetop,audiovisual,111.14,29.97,1280,720,True,True,lab-internal
ses-02_run-01_order-04_content-deer,data/movies/spacetop/videos/ses-02/ses-02_run-01_order-04_content-deer.mp4,spacetop,audiovisual,30.6,29.97,1280,720,True,True,lab-internal
ses-02_run-02_order-01_content-mediabias,data/movies/spacetop/videos/ses-02/ses-02_run-02_order-01_content-mediabias.mp4,spacetop,audiovisual,119.12,23.98,1280,720,True,True,lab-internal
ses-02_run-02_order-02_content-photography,data/movies/spacetop/videos/ses-02/ses-02_run-02_order-02_content-photography.mp4,spacetop,audiovisual,208.0,23.98,1280,720,True,True,lab-internal
ses-02_run-02_order-03_content-menrunning,data/movies/spacetop/videos/ses-02/ses-02_run-02_order-03_content-menrunning.mp4,spacetop,audiovisual,203.92,25.0,1280,720,True,True,lab-internal
ses-02_run-02_order-04_content-giving,data/movies/spacetop/videos/ses-02/ses-02_run-02_order-04_content-giving.mp4,spacetop,audiovisual,177.52,25.0,1280,720,True,True,lab-internal
ses-02_run-03_order-01_content-unefille,data/movies/spacetop/videos/ses-02/ses-02_run-03_order-01_content-unefille.mp4,spacetop,audiovisual,116.36,25.0,1280,720,True,True,lab-internal
ses-02_run-03_order-02_content-captureflag,data/movies/spacetop/videos/ses-02/ses-02_run-03_order-02_content-captureflag.mp4,spacetop,audiovisual,179.35,29.97,1280,720,True,True,lab-internal
ses-02_run-03_order-03_content-tornado,data/movies/spacetop/videos/ses-02/ses-02_run-03_order-03_content-tornado.mp4,spacetop,audiovisual,26.89,29.97,1280,720,True,True,lab-internal
ses-02_run-03_order-04_content-war,data/movies/spacetop/videos/ses-02/ses-02_run-03_order-04_content-war.mp4,spacetop,audiovisual,62.84,25.0,1920,1080,True,True,lab-internal
ses-02_run-04_order-01_content-forestfire,data/movies/spacetop/videos/ses-02/ses-02_run-04_order-01_content-forestfire.mp4,spacetop,audiovisual,47.38,29.97,1280,720,True,True,lab-internal
ses-02_run-04_order-02_content-iceblock,data/movies/spacetop/videos/ses-02/ses-02_run-04_order-02_content-iceblock.mp4,spacetop,audiovisual,47.8,25.0,1920,1080,True,True,lab-internal
ses-02_run-04_order-03_content-alwaysafamily,data/movies/spacetop/videos/ses-02/ses-02_run-04_order-03_content-alwaysafamily.mp4,spacetop,audiovisual,146.15,29.97,1280,720,True,True,lab-internal
ses-02_run-04_order-04_content-visswar,data/movies/spacetop/videos/ses-02/ses-02_run-04_order-04_content-visswar.mp4,spacetop,audiovisual,33.03,23.98,1280,720,True,True,lab-internal
ses-03_run-01_order-01_content-mountainbike,data/movies/spacetop/videos/ses-03/ses-03_run-01_order-01_content-mountainbike.mp4,spacetop,audiovisual,211.36,25.0,1920,1080,True,True,lab-internal
ses-03_run-01_order-02_content-carflood,data/movies/spacetop/videos/ses-03/ses-03_run-01_order-02_content-carflood.mp4,spacetop,audiovisual,20.95,29.97,1280,720,True,True,lab-internal
ses-03_run-01_order-03_content-fireplace,data/movies/spacetop/videos/ses-03/ses-03_run-01_order-03_content-fireplace.mp4,spacetop,audiovisual,30.13,29.97,1280,720,True,True,lab-internal
ses-03_run-01_order-04_content-snakes,data/movies/spacetop/videos/ses-03/ses-03_run-01_order-04_content-snakes.mp4,spacetop,audiovisual,123.28,25.0,1920,1080,True,True,lab-internal
ses-03_run-02_order-01_content-planetearth,data/movies/spacetop/videos/ses-03/ses-03_run-02_order-01_content-planetearth.mp4,spacetop,audiovisual,148.04,25.0,1920,1080,True,True,lab-internal
ses-03_run-02_order-02_content-normativeprosocial3,data/movies/spacetop/videos/ses-03/ses-03_run-02_order-02_content-normativeprosocial3.mp4,spacetop,audiovisual,86.62,29.97,1280,720,True,True,lab-internal
ses-03_run-02_order-03_content-heartstop,data/movies/spacetop/videos/ses-03/ses-03_run-02_order-03_content-heartstop.mp4,spacetop,audiovisual,196.7,23.98,1280,720,True,True,lab-internal
ses-03_run-02_order-04_content-beachsunrise,data/movies/spacetop/videos/ses-03/ses-03_run-02_order-04_content-beachsunrise.mp4,spacetop,audiovisual,35.2,23.98,1280,720,True,True,lab-internal
ses-03_run-03_order-01_content-normativeprosocial2,data/movies/spacetop/videos/ses-03/ses-03_run-03_order-01_content-normativeprosocial2.mp4,spacetop,audiovisual,105.98,23.98,1280,720,True,True,lab-internal
ses-03_run-03_order-02_content-normativeprosocial1,data/movies/spacetop/videos/ses-03/ses-03_run-03_order-02_content-normativeprosocial1.mp4,spacetop,audiovisual,74.87,23.98,1280,720,True,True,lab-internal
ses-03_run-03_order-03_content-stardust,data/movies/spacetop/videos/ses-03/ses-03_run-03_order-03_content-stardust.mp4,spacetop,audiovisual,196.92,25.0,1280,720,True,True,lab-internal
ses-04_run-01_order-01_content-universe,data/movies/spacetop/videos/ses-04/ses-04_run-01_order-01_content-universe.mp4,spacetop,audiovisual,50.52,29.97,1280,720,True,True,lab-internal
ses-04_run-01_order-02_content-gockskumara,data/movies/spacetop/videos/ses-04/ses-04_run-01_order-02_content-gockskumara.mp4,spacetop,audiovisual,179.44,25.0,1920,1080,True,True,lab-internal
